,split
872,train
873,test
874,train
875,train
876,train
877,test
878,train
879,test
880,train
881,train
882,test
883,train
884,train
885,train
886,train
887,train
888,train
889,train
890,train
891,test
892,test
893,train
894,train
895,train
896,train
897,train
898,train
899,train
900,train
901,train
902,train
903,train
904,train
905,train
906,train
907,train
908,test
909,train
910,train
911,test
912,test
913,train
914,train
915,test
916,train
917,train
918,train
919,train
920,train
921,test
922,test
923,train
924,train
925,train
926,train
927,train
928,train
929,train
930,train
931,train
932,train
933,train
934,train
935,train
936,train
937,train
938,train
939,train
940,train
941,train
942,train
943,test
944,test
945,train
946,train
947,train
948,train
949,train
950,train
951,train
952,train
953,train
954,train
955,test
956,train
957,train
958,train
959,test
960,train
961,train
962,train
963,train
964,train
965,train
966,train
967,train
968,train
969,train
970,train
971,test
972,test
973,train
974,train
975,train
976,train
977,train
978,train
979,train
980,train
981,train
982,train
983,train
984,train
985,train
986,test
987,train
988,test
989,train
990,train
991,train
992,train
993,train
994,train
995,test
996,train
997,train
998,train
999,train
1000,test
1001,test
1002,train
1003,train
1004,test
1005,train
1006,train
1007,train
1008,train
1009,train
1010,train
1011,train
1012,train
1013,train
1014,train
1015,train
1016,test
1017,train
1018,train
1019,train
1020,train
1021,train
1022,train
1023,train
1024,train
1025,train
1026,train
1027,train
1028,train
1029,test
1030,train
1031,train
1032,train
1033,train
1034,train
1035,train
1036,train
1037,test
1038,train
1039,train
1040,train
1041,test
1042,train
1043,train
1044,train
1045,train
1046,train
1047,train
1048,test
1049,test
1050,train
1051,train
1052,test
1053,train
1054,train
1055,train
1056,train
1057,train
1058,test
1059,test
1060,train
1061,test
1062,train
1063,train
1064,train
1065,test
1066,train
1067,train
1068,train
1069,train
1070,train
1071,test
1072,train
1073,train
1074,train
1075,train
1076,train
1077,train
1078,train
1079,train
1080,train
1081,train
1082,train
1083,train
1084,train
1085,train
1086,train
1087,test
1088,test
1089,test
1090,test
1091,test
1092,train
1093,train
1094,train
1095,test
1096,train
1097,train
1098,train
1099,train
1100,train
1101,train
1102,train
1103,train
1104,train
1105,train
1106,train
1107,train
1108,train
1109,train
1110,train
1111,test
1112,train
1113,train
1114,train
1115,train
1116,test
1117,train
1118,train
1119,train
1120,train
1121,test
1122,train
1123,test
1124,train
1125,train
1126,train
1127,test
1128,test
1129,train
1130,train
1131,train
1132,train
1133,train
1134,train
1135,train
1136,train
1137,train
1138,train
1139,test
1140,train
1141,train
1142,train
1143,test
1144,train
1145,train
1146,train
1147,train
1148,test
1149,train
1150,train
1151,train
1152,train
1153,train
1154,train
1155,test
1156,train
1157,train
1158,test
1159,train
1160,train
1161,train
1162,train
1163,test
1164,train
1165,test
1166,train
1167,train
1168,train
1169,train
1170,train
1171,test
1172,test
1173,train
1174,test
1175,train
1176,test
1177,train
1178,train
1179,train
1180,train
1181,train
1182,test
1183,train
1184,train
1185,test
1186,train
1187,train
1188,train
1189,train
1190,train
1191,train
1192,train
1193,test
1194,train
1195,train
1196,test
1197,train
1198,train
1199,test
1200,train
1201,train
1202,test
1203,train
1204,train
1205,train
1206,train
1207,train
1208,train
1209,train
1210,test
1211,test
1212,train
1213,train
1214,train
1215,test
1216,test
1217,train
1218,train
1219,train
1220,test
1221,train
1222,train
1223,train
1224,train
1225,test
1226,test
1227,train
1228,train
1229,train
1230,train
1231,train
1232,train
1233,train
1234,train
1235,test
1236,test
1237,train
1238,train
1239,test
1240,test
1241,train
1242,train
1243,train
1244,train
1245,train
1246,train
1247,train
1248,train
1249,train
1250,train
1251,train
1252,train
1253,train
1254,train
1255,train
1256,train
1257,train
1258,train
1259,train
1260,train
1261,train
1262,train
1263,train
1264,train
1265,train
1266,train
1267,train
1268,train
1269,train
1270,train
1271,test
1272,train
1273,test
1274,train
1275,train
1276,test
1277,train
1278,train
1279,test
1280,train
1281,train
1282,train
1283,train
1284,train
1285,train
1286,train
1287,train
1288,train
1289,train
1290,test
1291,train
1292,train
1293,test
1294,train
1295,train
1296,train
1297,train
1298,train
1299,test
1300,train
1301,train
1302,train
1303,train
1304,test
1305,train
1306,train
1307,train
1308,train
1309,train
1310,test
1311,train
1312,train
1313,train
1314,test
1315,train
1316,train
1317,train
1318,train
1319,train
1320,train
1321,train
1322,test
1323,train
1324,train
1325,train
1326,train
1327,train
1328,train
1329,train
1330,train
1331,test
1332,train
1333,train
1334,train
1335,train
1336,train
1337,train
1338,test
1339,train
1340,test
1341,train
1342,train
1343,train
1344,train
1345,train
1346,test
1347,train
1348,test
1349,train
1350,train
1351,train
1352,test
1353,train
1354,train
1355,train
1356,train
1357,train
1358,train
1359,train
1360,train
1361,train
1362,train
1363,train
1364,train
1365,test
1366,train
1367,train
1368,train
1369,train
1370,train
1371,train
1372,train
1373,train
1374,train
1375,test
1376,train
1377,train
1378,train
1379,train
1380,test
1381,train
1382,train
1383,train
1384,train
1385,train
1386,train
1387,test
1388,test
1389,train
1390,train
1391,train
1392,train
1393,test
1394,train
1395,train
1396,test
1397,train
1398,test
1399,train
1400,train
1401,train
1402,train
1403,train
1404,train
1405,train
1406,train
1407,train
1408,train
1409,train
1410,train
1411,train
1412,train
1413,test
1414,train
1415,train
1416,train
1417,train
1418,train
1419,test
1420,train
1421,test
1422,train
1423,train
1424,test
1425,test
1426,train
1427,train
1428,train
1429,train
1430,train
1431,train
1432,train
1433,train
1434,train
1435,test
1436,train
1437,train
1438,test
1439,test
1440,train
1441,train
1442,train
1443,train
1444,test
1445,test
1446,train
1447,train
1448,train
1449,test
1450,train
1451,train
1452,train
1453,test
1454,train
1455,test
1456,train
1457,test
1458,train
1459,train
1460,train
1461,train
1462,test
1463,train
1464,train
1465,train
1466,train
1467,test
1468,train
1469,train
1470,train
1471,train
1472,train
1473,train
1474,train
1475,train
1476,train
1477,train
1478,test
1479,train
1480,train
1481,train
1482,train
1483,train
1484,train
1485,test
1486,train
1487,train
1488,train
1489,train
1490,train
1491,train
1492,train
1493,train
1494,train
1495,train
1496,train
1497,train
1498,train
1499,test
1500,train
1501,train
1502,train
1503,train
1504,train
1505,train
1506,train
1507,test
1508,train
1509,test
1510,train
1511,train
1512,test
1513,train
1514,train
1515,test
1516,train
1517,test
1518,test
1519,train
1520,test
1521,test
1522,test
1523,train
1524,train
1525,test
1526,test
1527,train
1528,train
1529,train
1530,train
1531,test
1532,test
1533,train
1534,train
1535,train
1536,train
1537,train
1538,test
1539,train
1540,train
1541,train
1542,train
1543,train
1544,train
1545,test
1546,train
1547,train
1548,train
1549,train
1550,train
1551,train
1552,train
1553,train
1554,train
1555,train
1556,test
1557,train
1558,train
1559,train
1560,test
1561,train
1562,train
1563,train
1564,test
1565,test
1566,train
1567,train
1568,train
1569,test
1570,train
1571,train
1572,train
1573,test
1574,train
1575,train
1576,train
1577,train
1578,train
1579,train
1580,train
1581,train
1582,train
1583,train
1584,train
1585,train
1586,train
1587,test
1588,train
1589,train
1590,train
1591,train
1592,train
1593,train
1594,train
1595,test
1596,train
1597,train
1598,test
1599,train
1600,train
1601,train
1602,train
1603,test
1604,train
1605,train
1606,train
1607,test
1608,train
1609,train
1610,train
1611,train
1612,train
1613,train
1614,train
1615,train
1616,train
1617,train
1618,train
1619,train
1620,train
1621,train
1622,train
1623,train
1624,test
1625,train
1626,train
1627,train
1628,train
1629,train
1630,train
1631,test
1632,test
1633,train
1634,train
1635,train
1636,train
1637,train
1638,train
1639,train
1640,train
1641,train
1642,train
1643,train
1644,train
1645,train
1646,test
1647,train
1648,train
1649,train
1650,train
1651,train
1652,train
1653,train
1654,train
1655,train
1656,train
1657,train
1658,train
1659,train
1660,train
1661,test
1662,test
1663,train
1664,test
1665,train
1666,test
1667,train
1668,train
1669,test
1670,train
1671,test
1672,train
1673,test
1674,train
1675,train
1676,train
1677,train
1678,train
1679,train
1680,test
1681,train
1682,train
1683,train
1684,train
1685,train
1686,train
1687,train
1688,train
1689,train
1690,test
1691,train
1692,train
1693,train
1694,train
1695,train
1696,train
1697,train
1698,train
1699,train
1700,train
1701,train
1702,test
1703,train
1704,train
1705,train
1706,train
1707,train
1708,train
1709,train
1710,train
1711,train
1712,train
1713,train
1714,train
1715,test
1716,test
1717,train
1718,test
1719,train
1720,train
1721,train
1722,test
1723,test
1724,train
1725,train
1726,train
1727,train
1728,train
1729,train
1730,train
1731,train
1732,test
1733,train
1734,train
1735,train
1736,train
1737,train
1738,train
1739,train
1740,train
1741,train
1742,test
1743,train
1744,train
1745,train
1746,test
1747,train
1748,train
1749,train
1750,train
1751,train
1752,train
1753,train
1754,test
1755,train
1756,train
1757,train
1758,train
1759,train
1760,train
1761,train
1762,train
1763,test
1764,train
1765,train
1766,test
1767,train
1768,train
1769,train
1770,train
1771,test
1772,test
1773,train
1774,train
1775,test
1776,train
1777,train
1778,test
1779,train
1780,train
1781,train
1782,train
1783,train
1784,train
1785,test
1786,test
1787,test
1788,test
1789,train
1790,train
1791,train
1792,test
1793,train
1794,train
1795,train
1796,train
1797,train
1798,test
1799,train
1800,test
1801,train
1802,train
1803,train
1804,train
1805,train
1806,train
1807,train
1808,train
1809,train
1810,train
1811,train
1812,test
1813,train
1814,test
1815,train
1816,train
1817,train
1818,train
1819,train
1820,train
1821,train
1822,train
1823,test
1824,test
1825,train
1826,train
1827,test
1828,train
1829,train
1830,train
1831,train
1832,train
1833,test
1834,train
1835,train
1836,train
1837,test
1838,train
1839,train
1840,test
1841,train
1842,train
1843,test
1844,train
1845,test
1846,train
1847,train
1848,test
1849,train
1850,test
1851,train
1852,train
1853,test
1854,train
1855,train
1856,train
1857,test
1858,train
1859,train
1860,train
1861,test
1862,train
1863,test
1864,test
1865,train
1866,train
1867,test
1868,test
1869,train
1870,test
1871,test
1872,train
1873,test
1874,train
1875,train
1876,train
1877,train
1878,train
1879,train
1880,train
1881,train
1882,train
1883,train
1884,train
1885,train
1886,train
1887,train
1888,train
1889,train
1890,train
1891,train
1892,train
1893,train
1894,train
1895,train
1896,train
1897,train
1898,train
1899,train
1900,train
1901,train
1902,test
1903,train
1904,test
1905,train
1906,train
1907,train
1908,train
1909,test
1910,train
1911,test
1912,train
1913,train
1914,train
1915,test
1916,train
1917,train
1918,train
1919,train
1920,train
1921,train
1922,train
1923,train
1924,train
1925,train
1926,test
1927,train
1928,train
1929,test
1930,train
1931,train
1932,train
1933,train
1934,test
1935,test
1936,train
1937,train
1938,train
1939,train
1940,train
1941,train
1942,train
1943,train
1944,train
1945,train
1946,train
1947,test
1948,train
1949,train
1950,test
1951,train
1952,train
1953,train
1954,test
1955,train
1956,train
1957,train
1958,train
1959,test
1960,train
1961,train
1962,test
1963,train
1964,train
1965,train
1966,test
1967,train
1968,train
1969,train
1970,train
1971,test
1972,train
1973,train
1974,train
1975,train
1976,train
1977,train
1978,test
1979,train
1980,train
1981,train
1982,train
1983,train
1984,test
1985,train
1986,train
1987,train
1988,train
1989,train
1990,train
1991,test
1992,train
1993,train
1994,train
1995,train
1996,train
1997,train
1998,test
1999,test
2000,train
2001,train
2002,train
2003,train
2004,train
2005,train
2006,test
2007,train
2008,train
2009,test
2010,train
2011,train
2012,train
2013,train
2014,test
2015,train
2016,train
2017,train
2018,train
2019,train
2020,train
2021,train
2022,test
2023,train
2024,test
2025,train
2026,train
2027,train
2028,train
2029,test
2030,test
2031,train
2032,train
2033,train
2034,train
2035,test
2036,train
2037,train
2038,train
2039,train
2040,train
2041,train
2042,train
2043,train
2044,test
2045,train
2046,train
2047,test
2048,train
2049,train
2050,train
2051,train
2052,test
2053,train
2054,test
2055,train
2056,test
2057,train
2058,train
2059,train
2060,train
2061,train
2062,train
2063,train
2064,test
2065,train
2066,train
2067,train
2068,train
2069,train
2070,train
2071,train
2072,train
2073,train
2074,train
2075,train
2076,train
2077,train
2078,train
2079,train
2080,train
2081,test
2082,train
2083,train
2084,train
2085,train
2086,train
2087,train
2088,train
2089,test
2090,test
2091,test
2092,test
2093,train
2094,test
2095,train
2096,train
2097,train
2098,train
2099,train
2100,test
2101,train
2102,train
2103,test
2104,train
2105,train
2106,train
2107,train
2108,train
2109,train
2110,train
2111,train
2112,train
2113,test
2114,train
2115,train
2116,train
2117,train
2118,train
2119,train
2120,train
2121,train
2122,test
2123,train
2124,train
2125,train
2126,train
2127,train
2128,train
2129,train
2130,train
2131,train
2132,train
2133,train
2134,train
2135,train
2136,test
2137,train
2138,test
2139,train
2140,train
2141,train
2142,train
2143,test
2144,train
2145,train
2146,train
2147,train
2148,train
2149,train
2150,train
2151,test
2152,test
2153,train
2154,test
2155,train
2156,train
2157,train
2158,train
2159,train
2160,train
2161,train
2162,test
2163,train
2164,train
2165,train
2166,train
2167,train
2168,test
2169,test
2170,train
2171,train
2172,train
2173,train
2174,train
2175,test
2176,train
2177,train
2178,train
2179,train
2180,train
2181,test
2182,test
2183,test
2184,train
2185,train
2186,test
2187,train
2188,test
2189,test
2190,train
2191,test
2192,train
2193,train
2194,test
2195,train
2196,test
2197,train
2198,train
2199,test
2200,train
2201,train
2202,train
2203,test
2204,train
2205,train
2206,train
2207,train
2208,test
2209,test
2210,test
2211,train
2212,train
2213,train
2214,train
2215,train
2216,train
2217,train
2218,train
2219,train
2220,train
2221,test
2222,train
2223,test
2224,train
2225,test
2226,train
2227,train
2228,test
2229,test
2230,train
2231,train
2232,train
2233,train
2234,train
2235,train
2236,train
2237,train
2238,train
2239,train
2240,test
2241,test
2242,train
2243,train
2244,train
2245,train
2246,test
2247,train
2248,train
2249,train
2250,train
2251,train
2252,train
2253,train
2254,train
2255,train
2256,train
2257,test
2258,train
2259,train
2260,train
2261,train
2262,train
2263,train
2264,test
2265,train
2266,train
2267,test
2268,train
2269,train
2270,train
2271,train
2272,train
2273,test
2274,test
2275,train
2276,train
2277,train
2278,test
2279,train
2280,train
2281,train
2282,test
2283,test
2284,train
2285,train
2286,train
2287,train
2288,train
2289,train
2290,train
2291,train
2292,train
2293,test
2294,test
2295,train
2296,test
2297,train
2298,train
2299,train
2300,test
2301,train
2302,train
2303,train
2304,train
2305,train
2306,train
2307,train
2308,test
2309,train
2310,train
2311,train
2312,train
2313,train
2314,train
2315,test
2316,train
2317,train
2318,train
2319,train
2320,train
2321,train
2322,test
2323,test
2324,train
2325,train
2326,test
2327,train
2328,train
2329,train
2330,train
2331,train
2332,test
2333,train
2334,train
2335,test
2336,test
2337,train
2338,train
2339,train
2340,train
2341,train
2342,train
2343,test
2344,train
2345,test
2346,test
2347,train
2348,train
2349,train
2350,train
2351,train
2352,train
2353,train
2354,train
2355,train
2356,train
2357,train
2358,train
2359,train
2360,test
2361,test
2362,train
2363,train
2364,test
2365,train
2366,train
2367,train
2368,train
2369,train
2370,train
2371,train
2372,train
2373,train
2374,train
2375,test
2376,train
2377,test
2378,train
2379,train
2380,test
2381,test
2382,test
2383,train
2384,train
2385,train
2386,train
2387,train
2388,train
2389,train
2390,test
2391,test
2392,train
2393,train
2394,train
2395,test
2396,test
2397,train
2398,train
2399,train
2400,test
2401,train
2402,train
2403,train
2404,train
2405,train
2406,train
2407,train
2408,train
2409,test
2410,train
2411,train
2412,train
2413,test
2414,train
2415,train
2416,train
2417,train
2418,train
2419,train
2420,train
2421,train
2422,train
2423,train
2424,test
2425,train
2426,train
2427,train
2428,train
2429,train
2430,test
2431,test
2432,train
2433,train
2434,train
2435,train
2436,test
2437,train
2438,train
2439,train
2440,train
2441,train
2442,train
2443,train
2444,test
2445,test
2446,train
2447,train
2448,train
2449,train
2450,train
2451,train
2452,test
2453,test
2454,train
2455,test
2456,train
2457,train
2458,train
2459,train
2460,train
2461,train
2462,train
2463,test
2464,train
2465,train
2466,test
2467,test
2468,train
2469,train
2470,train
2471,train
2472,test
2473,test
2474,test
2475,train
2476,train
2477,test
2478,train
2479,test
2480,train
2481,train
2482,train
2483,train
2484,test
2485,train
2486,train
2487,train
2488,train
2489,train
2490,train
2491,train
2492,train
2493,test
2494,train
2495,train
2496,test
2497,train
2498,train
2499,test
2500,train
2501,train
2502,test
2503,train
2504,train
2505,train
2506,train
2507,train
2508,train
2509,test
2510,test
2511,test
2512,train
2513,train
2514,test
2515,train
2516,train
2517,train
2518,train
2519,train
2520,train
2521,train
2522,train
2523,train
2524,train
2525,train
2526,train
2527,train
2528,train
2529,train
2530,train
2531,train
2532,train
2533,test
2534,train
2535,train
2536,train
2537,train
2538,train
2539,train
2540,train
2541,train
2542,train
2543,train
2544,train
2545,train
2546,train
2547,train
2548,train
2549,train
2550,train
2551,train
2552,train
2553,train
2554,train
2555,train
2556,train
2557,train
2558,train
2559,train
2560,train
2561,train
2562,train
2563,train
2564,test
2565,train
2566,train
2567,train
2568,train
2569,train
2570,train
2571,train
2572,train
2573,test
2574,train
2575,test
2576,train
2577,train
2578,train
2579,train
2580,train
2581,test
2582,test
2583,test
2584,train
2585,train
2586,train
2587,train
2588,train
2589,train
2590,train
2591,train
2592,test
2593,test
2594,test
2595,train
2596,test
2597,train
2598,train
2599,train
2600,train
2601,test
2602,train
2603,train
2604,test
2605,train
2606,train
2607,train
2608,train
2609,train
2610,train
2611,train
2612,train
2613,train
2614,train
2615,train
2616,test
2617,train
2618,train
2619,test
2620,train
2621,train
2622,train
2623,test
2624,train
2625,train
2626,test
2627,train
2628,train
2629,test
2630,train
2631,test
2632,train
2633,train
2634,train
2635,train
2636,train
2637,train
2638,test
2639,train
2640,train
2641,train
2642,test
2643,train
2644,train
2645,train
2646,train
2647,train
2648,train
2649,train
2650,train
2651,train
2652,train
2653,train
2654,test
2655,train
2656,train
2657,train
2658,train
2659,train
2660,test
2661,train
2662,train
2663,train
2664,train
2665,train
2666,train
2667,train
2668,train
2669,test
2670,test
2671,train
2672,train
2673,test
2674,train
2675,train
2676,train
2677,train
2678,train
2679,train
2680,train
2681,train
2682,train
2683,test
2684,train
2685,test
2686,train
2687,train
2688,train
2689,train
2690,test
2691,train
2692,train
2693,train
2694,test
2695,train
2696,train
2697,test
2698,train
2699,train
2700,train
2701,train
2702,train
2703,train
2704,train
2705,train
2706,train
2707,test
2708,test
2709,train
2710,train
2711,train
2712,train
2713,train
2714,train
2715,train
2716,train
2717,train
2718,test
2719,train
2720,train
2721,train
2722,train
2723,train
2724,train
2725,test
2726,train
2727,train
2728,train
2729,test
2730,train
2731,train
2732,train
2733,train
2734,train
2735,train
2736,train
2737,train
2738,train
2739,train
2740,train
2741,train
2742,test
2743,train
2744,train
2745,train
2746,train
2747,train
2748,train
2749,test
2750,train
2751,train
2752,train
2753,train
2754,train
2755,train
2756,train
2757,train
2758,train
2759,test
2760,train
2761,test
2762,train
2763,train
2764,train
2765,train
2766,train
2767,train
2768,train
2769,train
2770,train
2771,test
2772,train
2773,train
2774,train
2775,train
2776,train
2777,train
2778,train
2779,train
2780,train
2781,train
2782,test
2783,train
2784,test
2785,train
2786,train
2787,train
2788,test
2789,train
2790,train
2791,train
2792,train
2793,train
2794,train
2795,train
2796,train
2797,test
2798,train
2799,train
2800,test
2801,train
2802,train
2803,train
2804,train
2805,test
2806,train
2807,test
2808,train
2809,train
2810,train
2811,test
2812,test
2813,train
2814,train
2815,train
2816,test
2817,train
2818,train
2819,train
2820,train
2821,train
2822,train
2823,train
2824,train
2825,test
2826,train
2827,test
2828,train
2829,train
2830,train
2831,test
2832,train
2833,train
2834,train
2835,train
2836,train
2837,train
2838,test
2839,train
2840,test
2841,test
2842,train
2843,train
2844,train
2845,test
2846,train
2847,train
2848,train
2849,test
2850,train
2851,train
2852,train
2853,train
2854,train
2855,test
2856,train
2857,train
2858,test
2859,train
2860,train
2861,train
2862,train
2863,train
2864,train
2865,test
2866,test
2867,train
2868,train
2869,train
2870,test
2871,train
2872,train
2873,train
2874,train
2875,test
2876,train
2877,train
2878,test
2879,train
2880,train
2881,test
2882,train
2883,train
2884,test
2885,train
2886,train
2887,train
2888,train
2889,train
2890,train
2891,train
2892,train
2893,train
2894,train
2895,train
2896,train
2897,train
2898,train
2899,train
2900,train
2901,train
2902,test
2903,test
2904,test
2905,train
2906,train
2907,train
2908,train
2909,train
2910,train
2911,train
2912,train
2913,train
2914,train
2915,train
2916,train
2917,train
2918,test
2919,train
2920,train
2921,train
2922,test
2923,train
2924,train
2925,train
2926,train
2927,train
2928,test
2929,train
2930,train
2931,train
2932,train
2933,train
2934,train
2935,train
2936,test
2937,train
2938,train
2939,train
2940,test
2941,train
2942,train
2943,train
2944,train
2945,train
2946,train
2947,test
2948,train
2949,train
2950,train
2951,train
2952,train
2953,train
2954,test
2955,train
2956,train
2957,train
2958,train
2959,test
2960,train
2961,train
2962,train
2963,train
2964,test
2965,train
2966,test
2967,train
2968,train
2969,train
2970,train
2971,train
2972,train
2973,train
2974,train
2975,train
2976,train
2977,test
2978,train
2979,train
2980,test
2981,train
2982,test
2983,train
2984,train
2985,train
2986,train
2987,train
2988,train
2989,train
2990,test
2991,train
2992,test
2993,test
2994,train
2995,train
2996,train
2997,train
