,split
815,train
816,train
817,train
818,train
819,train
820,train
821,train
822,test
823,test
824,train
825,train
826,train
827,train
828,train
829,train
830,train
831,train
832,train
833,train
834,train
835,train
836,test
837,train
838,train
839,test
840,test
841,test
842,train
843,train
844,train
845,train
846,train
847,train
848,test
849,train
850,train
851,train
852,train
853,train
854,train
855,train
856,train
857,test
858,test
859,test
860,train
861,train
862,train
863,train
864,train
865,test
866,train
867,train
868,train
869,train
870,train
871,train
872,train
873,train
874,train
875,train
876,train
877,train
878,train
879,train
880,train
881,train
882,train
883,test
884,train
885,train
886,train
887,train
888,train
889,train
890,train
891,train
892,train
893,train
894,test
895,train
896,train
897,train
898,train
899,train
900,test
901,test
902,train
903,train
904,train
905,train
906,train
907,train
908,train
909,train
910,train
911,train
912,test
913,test
914,train
915,train
916,train
917,train
918,train
919,train
920,train
921,train
922,train
923,train
924,train
925,train
926,train
927,train
928,train
929,train
930,test
931,train
932,train
933,train
934,test
935,train
936,train
937,test
938,train
939,test
940,train
941,test
942,train
943,test
944,train
945,train
946,train
947,train
948,train
949,train
950,train
951,train
952,train
953,train
954,train
955,train
956,test
957,train
958,test
959,train
960,train
961,train
962,train
963,train
964,train
965,train
966,train
967,train
968,train
969,train
970,test
971,test
972,train
973,train
974,train
975,train
976,train
977,train
978,train
979,train
980,train
981,train
982,test
983,train
984,train
985,train
986,train
987,test
988,train
989,train
990,train
991,train
992,train
993,train
994,train
995,train
996,train
997,train
998,train
999,train
1000,test
1001,train
1002,train
1003,train
1004,train
1005,train
1006,test
1007,train
1008,test
1009,train
1010,train
1011,train
1012,train
1013,train
1014,test
1015,train
1016,test
1017,test
1018,train
1019,train
1020,train
1021,train
1022,train
1023,test
1024,train
1025,train
1026,train
1027,train
1028,test
1029,train
1030,train
1031,train
1032,train
1033,train
1034,train
1035,train
1036,train
1037,train
1038,test
1039,train
1040,test
1041,train
1042,train
1043,train
1044,train
1045,test
1046,train
1047,train
1048,train
1049,train
1050,train
1051,train
1052,train
1053,test
1054,train
1055,train
1056,train
1057,train
1058,train
1059,train
1060,train
1061,train
1062,train
1063,train
1064,test
1065,train
1066,train
1067,train
1068,train
1069,test
1070,train
1071,train
1072,test
1073,train
1074,train
1075,train
1076,train
1077,train
1078,train
1079,train
1080,train
1081,train
1082,train
1083,train
1084,test
1085,train
1086,train
1087,train
1088,train
1089,train
1090,train
1091,test
1092,test
1093,test
1094,train
1095,train
1096,train
1097,train
1098,test
1099,train
1100,train
1101,train
1102,train
1103,train
1104,train
1105,train
1106,train
1107,test
1108,train
1109,train
1110,train
1111,train
1112,train
1113,train
1114,train
1115,train
1116,train
1117,test
1118,train
1119,train
1120,train
1121,train
1122,train
1123,train
1124,test
1125,train
1126,train
1127,train
1128,train
1129,train
1130,train
1131,train
1132,test
1133,train
1134,train
1135,train
1136,train
1137,train
1138,train
1139,test
1140,train
1141,train
1142,train
1143,test
1144,train
1145,train
1146,train
1147,test
1148,train
1149,train
1150,train
1151,test
1152,train
1153,train
1154,train
1155,train
1156,train
1157,train
1158,train
1159,train
1160,train
1161,test
1162,train
1163,train
1164,train
1165,train
1166,train
1167,train
1168,test
1169,train
1170,train
1171,test
1172,train
1173,train
1174,train
1175,test
1176,test
1177,train
1178,train
1179,train
1180,train
1181,train
1182,test
1183,test
1184,train
1185,train
1186,train
1187,train
1188,train
1189,train
1190,train
1191,train
1192,train
1193,train
1194,train
1195,train
1196,train
1197,train
1198,train
1199,train
1200,train
1201,train
1202,train
1203,train
1204,train
1205,train
1206,test
1207,train
1208,train
1209,test
1210,train
1211,test
1212,train
1213,train
1214,test
1215,test
1216,train
1217,train
1218,train
1219,train
1220,train
1221,train
1222,train
1223,train
1224,train
1225,train
1226,test
1227,train
1228,train
1229,train
1230,test
1231,train
1232,train
1233,test
1234,train
1235,train
1236,train
1237,train
1238,train
1239,train
1240,test
1241,train
1242,train
1243,train
1244,test
1245,train
1246,train
1247,train
1248,test
1249,train
1250,test
1251,train
1252,train
1253,train
1254,train
1255,train
1256,train
1257,train
1258,test
1259,train
1260,test
1261,train
1262,train
1263,train
1264,train
1265,train
1266,train
1267,train
1268,train
1269,test
1270,train
1271,train
1272,test
1273,train
1274,train
1275,train
1276,train
1277,test
1278,train
1279,train
1280,train
1281,train
1282,train
1283,train
1284,train
1285,train
1286,train
1287,train
1288,test
1289,train
1290,train
1291,train
1292,train
1293,train
1294,train
1295,test
1296,train
1297,train
1298,test
1299,train
1300,train
1301,train
1302,test
1303,test
1304,train
1305,test
1306,train
1307,train
1308,train
1309,train
1310,train
1311,train
1312,train
1313,train
1314,train
1315,train
1316,train
1317,train
1318,train
1319,train
1320,train
1321,test
1322,test
1323,train
1324,train
1325,train
1326,train
1327,test
1328,train
1329,test
1330,train
1331,train
1332,test
1333,train
1334,train
1335,train
1336,train
1337,train
1338,train
1339,train
1340,train
1341,train
1342,train
1343,train
1344,train
1345,train
1346,test
1347,train
1348,train
1349,train
1350,train
1351,train
1352,train
1353,train
1354,train
1355,test
1356,train
1357,train
1358,train
1359,train
1360,train
1361,train
1362,train
1363,train
1364,train
1365,train
1366,train
1367,train
1368,train
1369,train
1370,train
1371,train
1372,train
1373,train
1374,train
1375,test
1376,train
1377,train
1378,train
1379,train
1380,train
1381,train
1382,train
1383,train
1384,train
1385,train
1386,train
1387,train
1388,train
1389,train
1390,train
1391,train
1392,train
1393,train
1394,train
1395,train
1396,train
1397,train
1398,train
1399,train
1400,train
1401,train
1402,train
1403,test
1404,train
1405,test
1406,train
1407,test
1408,train
1409,train
1410,train
1411,train
1412,test
1413,test
1414,train
1415,test
1416,train
1417,train
1418,test
1419,test
1420,train
1421,test
1422,train
1423,train
1424,train
1425,test
1426,train
1427,train
1428,train
1429,train
1430,train
1431,train
1432,train
1433,train
1434,test
1435,train
1436,test
1437,train
1438,test
1439,train
1440,train
1441,train
1442,train
1443,test
1444,test
1445,test
1446,train
1447,train
1448,train
1449,train
1450,train
1451,train
1452,train
1453,test
1454,train
1455,test
1456,train
1457,train
1458,train
1459,train
1460,test
1461,train
1462,test
1463,test
1464,test
1465,test
1466,train
1467,train
1468,train
1469,train
1470,train
1471,test
1472,train
1473,test
1474,test
1475,train
1476,train
1477,train
1478,train
1479,train
1480,train
1481,train
1482,train
1483,train
1484,train
1485,train
1486,train
1487,train
1488,train
1489,train
1490,train
1491,train
1492,test
1493,train
1494,train
1495,train
1496,train
1497,train
1498,train
1499,test
1500,train
1501,train
1502,train
1503,train
1504,train
1505,train
1506,train
1507,train
1508,train
1509,train
1510,train
1511,test
1512,test
1513,train
1514,train
1515,train
1516,test
1517,train
1518,train
1519,train
1520,train
1521,train
1522,train
1523,train
1524,train
1525,train
1526,test
1527,train
1528,train
1529,train
1530,train
1531,train
1532,test
1533,test
1534,test
1535,train
1536,train
1537,train
1538,train
1539,train
1540,train
1541,test
1542,train
1543,train
1544,test
1545,train
1546,train
1547,train
1548,train
1549,train
1550,train
1551,train
1552,train
1553,train
1554,test
1555,train
1556,train
1557,train
1558,train
1559,test
1560,train
1561,train
1562,train
1563,train
1564,train
1565,test
1566,test
1567,train
1568,test
1569,train
1570,test
1571,train
1572,train
1573,train
1574,train
1575,test
1576,test
1577,train
1578,test
1579,train
1580,train
1581,train
1582,train
1583,test
1584,train
1585,train
1586,train
1587,train
1588,train
1589,train
1590,test
1591,train
1592,test
1593,train
1594,train
1595,train
1596,train
1597,train
1598,train
1599,train
1600,train
1601,train
1602,train
1603,train
1604,train
1605,train
1606,test
1607,train
1608,train
1609,train
1610,test
1611,train
1612,train
1613,train
1614,train
1615,train
1616,train
1617,train
1618,test
1619,train
1620,train
1621,train
1622,train
1623,test
1624,test
1625,train
1626,test
1627,train
1628,train
1629,train
1630,train
1631,train
1632,train
1633,train
1634,train
1635,train
1636,test
1637,train
1638,train
1639,train
1640,train
1641,train
1642,train
1643,train
1644,train
1645,train
1646,train
1647,train
1648,test
1649,train
1650,train
1651,train
1652,test
1653,train
1654,train
1655,train
1656,train
1657,train
1658,test
1659,train
1660,train
1661,test
1662,train
1663,train
1664,train
1665,train
1666,train
1667,train
1668,train
1669,train
1670,test
1671,train
1672,train
1673,train
1674,train
1675,train
1676,train
1677,train
1678,train
1679,train
1680,train
1681,train
1682,train
1683,test
1684,train
1685,train
1686,train
1687,train
1688,train
1689,train
1690,train
1691,test
1692,train
1693,train
1694,train
1695,train
1696,test
1697,train
1698,train
1699,train
1700,test
1701,train
1702,test
1703,train
1704,train
1705,test
1706,train
1707,train
1708,train
1709,train
1710,train
1711,train
1712,train
1713,train
1714,train
1715,test
1716,train
1717,test
1718,train
1719,train
1720,train
1721,test
1722,train
1723,train
1724,train
1725,train
1726,train
1727,test
1728,train
1729,train
1730,train
1731,train
1732,train
1733,train
1734,train
1735,train
1736,train
1737,test
1738,train
1739,train
1740,test
1741,train
1742,train
1743,test
1744,train
1745,train
1746,train
1747,test
1748,train
1749,train
1750,train
1751,train
1752,test
1753,train
1754,train
1755,test
1756,train
1757,train
1758,train
1759,train
1760,train
1761,train
1762,train
1763,test
1764,train
1765,train
1766,train
1767,train
1768,test
1769,train
1770,train
1771,train
1772,train
1773,train
1774,train
1775,train
1776,test
1777,test
1778,test
1779,train
1780,train
1781,test
1782,test
1783,test
1784,train
1785,train
1786,train
1787,train
1788,train
1789,train
1790,train
1791,train
1792,test
1793,train
1794,train
1795,test
1796,train
1797,train
1798,test
1799,train
1800,train
1801,train
1802,train
1803,train
1804,train
1805,test
1806,train
1807,test
1808,test
1809,train
1810,train
1811,train
1812,train
1813,train
1814,train
1815,train
1816,train
1817,train
1818,train
1819,test
1820,train
1821,train
1822,train
1823,train
1824,train
1825,test
1826,train
1827,train
1828,test
1829,train
1830,train
1831,train
1832,train
1833,train
1834,train
1835,test
1836,train
1837,train
1838,train
1839,train
1840,train
1841,train
1842,test
1843,train
1844,train
1845,train
1846,train
1847,test
1848,train
1849,test
1850,train
1851,train
1852,train
1853,test
1854,train
1855,train
1856,train
1857,train
1858,train
1859,train
1860,train
1861,train
1862,test
1863,test
1864,train
1865,train
1866,train
1867,train
1868,train
1869,train
1870,train
1871,train
1872,train
1873,train
1874,train
1875,train
1876,test
1877,train
1878,train
1879,train
1880,train
1881,train
1882,test
1883,train
1884,train
1885,train
1886,train
1887,train
1888,train
1889,test
1890,train
1891,test
1892,train
1893,train
1894,train
1895,train
1896,train
1897,train
1898,train
1899,train
1900,test
1901,train
1902,train
1903,train
1904,test
1905,test
1906,train
1907,train
1908,train
1909,train
1910,train
1911,train
1912,train
1913,train
1914,test
1915,test
1916,train
1917,train
1918,train
1919,test
1920,train
1921,train
1922,train
1923,train
1924,train
1925,train
1926,train
1927,test
1928,train
1929,train
1930,train
1931,train
1932,train
1933,train
1934,train
1935,train
1936,train
1937,train
1938,train
1939,train
1940,test
1941,train
1942,test
1943,train
1944,train
1945,test
1946,train
1947,train
1948,test
1949,test
1950,test
1951,train
1952,train
1953,train
1954,train
1955,train
1956,train
1957,train
1958,train
1959,train
1960,train
1961,train
1962,train
1963,train
1964,train
1965,train
1966,train
1967,train
1968,train
1969,train
1970,train
1971,train
1972,train
1973,train
1974,train
1975,train
1976,train
1977,test
1978,train
1979,train
1980,test
1981,train
1982,train
1983,train
1984,train
1985,train
1986,train
1987,train
1988,train
1989,train
1990,test
1991,train
1992,train
1993,train
1994,train
1995,train
1996,train
1997,train
1998,train
1999,train
2000,train
2001,test
2002,train
2003,train
2004,train
2005,test
2006,test
2007,train
2008,train
2009,train
2010,train
2011,train
2012,train
2013,train
2014,train
2015,train
2016,train
2017,train
2018,train
2019,train
2020,train
2021,train
2022,train
2023,train
2024,train
2025,train
2026,train
2027,train
2028,train
2029,train
2030,test
2031,train
2032,train
2033,test
2034,train
2035,test
2036,train
2037,train
2038,train
2039,train
2040,train
2041,train
2042,train
2043,train
2044,train
2045,train
2046,train
2047,train
2048,train
2049,test
2050,train
2051,train
2052,test
2053,train
2054,train
2055,train
2056,train
2057,train
2058,train
2059,train
2060,train
2061,test
2062,test
2063,train
2064,test
2065,train
2066,train
2067,train
2068,train
2069,train
2070,train
2071,train
2072,train
2073,train
2074,test
2075,train
2076,test
2077,train
2078,test
2079,train
2080,train
2081,train
2082,train
2083,train
2084,test
2085,train
2086,train
2087,train
2088,train
2089,train
2090,train
2091,train
2092,train
2093,train
2094,train
2095,train
2096,train
2097,train
2098,test
2099,train
2100,train
2101,train
2102,train
2103,train
2104,train
2105,train
2106,train
2107,train
2108,train
2109,train
2110,train
2111,train
2112,train
2113,train
2114,train
2115,train
2116,train
2117,train
2118,train
2119,train
2120,train
2121,train
2122,train
2123,test
2124,test
2125,train
2126,train
2127,test
2128,train
2129,train
2130,train
2131,train
2132,train
2133,train
2134,test
2135,test
2136,train
2137,train
2138,train
2139,test
2140,train
2141,train
2142,train
2143,train
2144,train
2145,train
2146,test
2147,train
2148,train
2149,train
2150,train
2151,train
2152,train
2153,train
2154,test
2155,train
2156,train
2157,train
2158,train
2159,train
2160,test
2161,train
2162,train
2163,train
2164,train
2165,train
2166,test
2167,train
2168,test
2169,train
2170,train
2171,train
2172,train
2173,test
2174,train
2175,train
2176,train
2177,train
2178,train
2179,train
2180,train
2181,train
2182,train
2183,train
2184,train
2185,test
2186,test
2187,train
2188,test
2189,train
2190,train
2191,train
2192,train
2193,test
2194,test
2195,train
2196,train
2197,train
2198,train
2199,train
2200,train
2201,train
2202,train
2203,train
2204,test
2205,train
2206,test
2207,train
2208,train
2209,test
2210,test
2211,train
2212,train
2213,test
2214,test
2215,train
2216,train
2217,test
2218,train
2219,train
2220,train
2221,train
2222,train
2223,train
2224,train
2225,train
2226,train
2227,train
2228,train
2229,train
2230,train
2231,train
2232,train
2233,test
2234,train
2235,train
2236,test
2237,test
2238,test
2239,train
2240,train
2241,train
2242,train
2243,train
2244,test
2245,train
2246,test
2247,train
2248,test
2249,test
2250,test
2251,train
2252,train
2253,train
2254,test
2255,train
2256,train
2257,train
2258,train
2259,train
2260,train
2261,train
2262,train
2263,train
2264,test
2265,train
2266,train
2267,train
2268,train
2269,train
2270,train
2271,train
2272,train
2273,train
2274,train
2275,train
2276,test
2277,train
2278,train
2279,train
2280,train
2281,train
2282,train
2283,test
2284,train
2285,train
2286,train
2287,train
2288,train
2289,train
2290,train
2291,train
2292,test
2293,train
2294,train
2295,train
2296,train
2297,train
2298,test
2299,test
2300,test
2301,train
2302,test
2303,test
2304,train
2305,train
2306,train
2307,test
2308,train
2309,train
2310,train
2311,test
2312,train
2313,train
2314,train
2315,train
2316,train
2317,train
2318,train
2319,train
2320,train
2321,train
2322,train
2323,train
2324,train
2325,test
2326,train
2327,test
2328,train
2329,test
2330,test
2331,train
2332,train
2333,train
2334,train
2335,train
2336,train
2337,test
2338,train
2339,train
2340,train
2341,test
2342,train
2343,train
2344,test
2345,test
2346,train
2347,train
2348,train
2349,train
2350,train
2351,train
2352,train
2353,train
2354,train
2355,train
2356,test
2357,train
2358,test
2359,train
2360,train
2361,train
2362,test
2363,train
2364,train
2365,train
2366,train
2367,train
2368,train
2369,train
2370,test
2371,train
2372,train
2373,train
2374,train
2375,train
2376,train
2377,train
2378,train
2379,train
2380,train
2381,train
2382,train
2383,train
2384,train
2385,test
2386,test
2387,train
2388,train
2389,train
2390,train
2391,train
2392,train
2393,train
2394,train
2395,train
2396,train
2397,train
2398,test
2399,test
2400,train
2401,train
2402,test
2403,train
2404,test
2405,train
2406,train
2407,train
2408,train
2409,train
2410,train
2411,test
2412,test
2413,train
2414,train
2415,train
2416,train
2417,test
2418,train
2419,train
2420,train
2421,train
2422,train
2423,train
2424,test
2425,train
2426,train
2427,train
2428,train
2429,test
2430,test
2431,train
2432,test
2433,test
2434,train
2435,test
2436,test
2437,train
2438,train
2439,train
2440,train
2441,train
2442,train
2443,test
2444,train
2445,train
2446,test
2447,test
2448,train
2449,test
2450,train
2451,test
2452,train
2453,test
2454,train
2455,train
2456,test
2457,train
2458,train
2459,train
2460,train
2461,train
2462,train
2463,test
2464,train
2465,train
2466,train
2467,test
2468,train
2469,train
2470,test
2471,train
2472,train
2473,test
2474,train
2475,train
2476,train
2477,train
2478,train
2479,train
2480,train
2481,train
2482,test
2483,train
2484,train
2485,train
2486,test
2487,train
2488,train
2489,train
2490,train
2491,train
2492,test
2493,train
2494,train
2495,train
2496,test
2497,train
2498,test
2499,train
2500,train
2501,train
2502,test
2503,train
2504,train
2505,train
2506,train
2507,train
2508,train
2509,train
2510,test
2511,train
2512,test
2513,train
2514,train
2515,train
2516,test
2517,train
2518,train
2519,train
2520,train
2521,test
2522,train
2523,train
2524,train
2525,train
2526,test
2527,train
2528,test
2529,train
2530,train
2531,train
2532,train
2533,train
2534,test
2535,train
2536,train
2537,train
2538,train
2539,train
2540,train
2541,train
2542,train
2543,train
2544,test
2545,train
2546,train
2547,train
2548,train
2549,train
2550,train
2551,train
2552,train
2553,train
2554,test
2555,train
2556,train
2557,train
2558,train
2559,train
2560,train
2561,train
2562,test
2563,train
2564,train
2565,test
2566,train
2567,test
2568,train
2569,train
2570,train
2571,train
2572,test
2573,train
2574,train
2575,train
2576,train
2577,train
2578,train
2579,train
2580,test
2581,test
2582,train
2583,train
2584,train
2585,train
2586,train
2587,train
2588,train
2589,train
2590,train
2591,train
2592,train
2593,train
2594,train
2595,train
2596,test
2597,train
2598,train
2599,train
2600,train
2601,train
2602,train
2603,train
2604,train
2605,train
2606,train
2607,train
2608,train
2609,train
2610,train
2611,train
2612,train
2613,train
2614,test
2615,test
2616,train
2617,test
2618,train
2619,train
2620,train
2621,train
2622,train
2623,test
2624,train
2625,train
2626,train
2627,train
2628,train
2629,train
2630,train
2631,train
2632,train
2633,train
2634,train
2635,test
2636,train
2637,train
2638,train
2639,train
2640,train
2641,train
2642,train
2643,train
2644,train
2645,train
2646,train
2647,train
2648,train
2649,train
2650,train
2651,train
2652,train
2653,train
2654,train
2655,train
2656,train
2657,train
2658,train
2659,train
2660,train
2661,train
2662,train
2663,train
2664,train
2665,train
2666,train
2667,train
2668,train
2669,train
2670,train
2671,test
2672,train
2673,train
2674,train
2675,train
2676,train
2677,train
2678,train
2679,train
2680,train
2681,train
2682,test
2683,train
2684,train
2685,train
2686,train
2687,test
2688,train
2689,test
2690,train
2691,test
2692,train
2693,train
2694,train
2695,train
2696,train
2697,train
2698,train
2699,train
2700,train
2701,train
2702,train
2703,train
2704,train
2705,train
2706,train
2707,train
2708,test
2709,train
2710,test
2711,train
2712,train
2713,test
2714,train
2715,test
2716,train
2717,test
2718,train
2719,test
2720,train
2721,test
2722,test
2723,train
2724,train
2725,train
2726,train
2727,train
2728,train
2729,train
2730,train
2731,train
2732,train
2733,test
2734,train
2735,test
2736,test
2737,train
2738,train
2739,train
2740,train
2741,train
2742,train
2743,test
2744,train
2745,test
2746,train
2747,test
2748,train
2749,test
2750,train
2751,train
2752,train
2753,train
2754,test
2755,train
2756,train
2757,train
2758,train
2759,train
2760,train
2761,train
2762,train
2763,train
2764,train
2765,train
2766,train
2767,train
2768,train
2769,test
2770,train
2771,train
2772,train
2773,train
2774,train
2775,test
2776,train
2777,train
2778,train
2779,train
2780,train
2781,train
2782,train
2783,train
2784,train
2785,train
2786,train
2787,train
2788,train
2789,train
2790,train
2791,train
2792,test
2793,test
2794,train
2795,train
2796,train
2797,train
2798,train
2799,test
2800,train
2801,train
2802,train
2803,train
2804,train
2805,train
2806,train
2807,train
2808,train
2809,train
2810,test
2811,train
2812,train
2813,test
2814,test
2815,test
2816,train
2817,train
2818,test
2819,train
2820,train
2821,train
2822,train
2823,train
2824,test
2825,train
2826,train
2827,test
2828,train
2829,train
2830,train
2831,train
2832,train
2833,train
2834,train
2835,train
2836,train
2837,train
2838,train
2839,train
2840,train
2841,train
2842,train
2843,test
2844,train
2845,train
2846,train
2847,train
2848,train
2849,train
2850,train
2851,train
2852,train
2853,train
2854,test
2855,train
2856,train
2857,train
2858,train
2859,train
2860,train
2861,train
2862,train
2863,train
2864,train
2865,test
2866,test
2867,train
2868,train
2869,train
2870,train
2871,train
2872,train
2873,train
2874,train
2875,test
2876,train
2877,train
2878,test
2879,train
2880,train
2881,test
2882,train
2883,train
2884,train
2885,train
2886,train
2887,train
2888,train
2889,test
2890,test
2891,train
2892,train
2893,train
2894,train
2895,train
2896,train
2897,train
2898,train
2899,test
2900,test
2901,test
2902,train
2903,test
2904,train
2905,train
2906,test
2907,test
2908,train
2909,train
2910,train
2911,train
2912,train
2913,train
2914,train
2915,train
2916,train
2917,train
2918,train
2919,train
2920,train
2921,test
2922,train
2923,train
2924,test
2925,train
2926,train
2927,train
2928,test
2929,train
2930,train
2931,train
2932,train
2933,train
2934,train
2935,train
2936,train
2937,test
2938,train
2939,train
2940,train
2941,train
2942,train
2943,train
2944,train
2945,train
2946,train
2947,train
2948,train
2949,train
2950,test
2951,train
2952,train
2953,train
2954,train
2955,train
2956,train
2957,train
2958,train
2959,train
2960,train
2961,train
2962,train
2963,train
2964,train
2965,train
2966,train
2967,train
2968,train
2969,train
2970,train
2971,test
2972,train
2973,train
2974,train
2975,train
2976,train
2977,train
2978,train
2979,train
2980,train
2981,train
2982,test
2983,test
2984,test
2985,train
2986,test
2987,train
2988,test
2989,train
2990,train
2991,train
2992,train
2993,train
2994,train
2995,train
2996,train
2997,train
